chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	8067963	8067987	2	WBGene00011510	+	0.134	False	0.245192929293	2.0
II	8068122	8068156	3	WBGene00011511	-	0.002	True	0.00692734225621	3.0
III	5190119	5190165	3	WBGene00189952	+	0.008	False	0.023689415611	3.0
II	4325956	4325991	4	WBGene00003390	+	0.0	True	0.0	4.0
I	9965606	9965644	5	WBGene00003397	+	0.152	False	0.271145248646	5.0
I	9965767	9965815	2	WBGene00003397	+	1.0	False	1.0	2.0
I	9968087	9968152	3	WBGene00003397	+	0.999	False	1.0	3.0
I	9969347	9969434	30	WBGene00003397	+	0.0	True	0.0	27.0
I	9969859	9969922	5	WBGene00003397	+	0.999	False	1.0	3.0
I	9969945	9969998	4	WBGene00003397	+	0.703	False	0.906394661922	4.0
I	9895886	9895947	18	WBGene00003396	-	0.0	True	0.0	18.0
I	9895948	9895990	6	WBGene00003396	-	0.0	True	0.0	6.0
V	8358028	8358087	4	WBGene00003395	+	0.034	False	0.0815774834437	3.0
II	10027869	10027912	2	WBGene00009948	-	0.142	False	0.256719560878	2.0
III	2764571	2764636	7	WBGene00022182	-	0.0	True	0.0	5.0
III	2782780	2782826	2	WBGene00022185	-	0.05	False	0.111100889298	2.0
II	11605801	11605847	2	WBGene00008547	+	0.085	False	0.170234936429	2.0
II	11592422	11592447	2	WBGene00008546	-	0.991	False	1.0	2.0
II	11592452	11592483	4	WBGene00008546	-	0.019	False	0.0504485159399	4.0
II	11592484	11592535	6	WBGene00008546	-	0.0	True	0.0	6.0
II	11595379	11595415	6	WBGene00008546	-	0.0	True	0.0	6.0
III	10384882	10384909	3	WBGene00008019	+	0.019	False	0.0504485159399	3.0
II	11614938	11614979	4	WBGene00008549	-	0.001	True	0.00367630644343	4.0
II	11619387	11619425	2	WBGene00008549	-	0.52	False	0.720168195719	2.0
X	8409296	8409339	6	WBGene00022981	-	0.037	False	0.087557805356	6.0
X	8417959	8418003	12	WBGene00022980	-	0.0	True	0.0	12.0
X	8646476	8646520	6	WBGene00022987	+	0.103	False	0.1980201645	6.0
X	8638917	8638953	2	WBGene00022986	+	0.609	False	0.81237371134	2.0
II	5772915	5773004	20	WBGene00022984	-	0.545	False	0.747363739591	11.0
I	13626601	13626660	6	WBGene00012351	-	0.0	True	0.0	6.0
X	15146557	15146619	31	WBGene00012350	-	0.0	True	0.0	30.0
I	13658214	13658281	16	WBGene00012354	-	0.0	True	0.0	15.0
III	10737099	10737132	7	WBGene00012359	-	0.0	True	0.0	7.0
III	10737164	10737208	7	WBGene00012359	-	0.0	True	0.0	7.0
III	11091538	11091585	2	WBGene00012358	+	0.183	False	0.31444581456	2.0
I	14004382	14004415	4	WBGene00045077	+	0.0	True	0.0	4.0
V	9343269	9343303	4	WBGene00019466	-	0.0	True	0.0	4.0
V	9331342	9331385	7	WBGene00019464	+	0.0	True	0.0	7.0
V	9327251	9327294	4	WBGene00019465	-	0.003	True	0.00998530087276	4.0
V	9331666	9331705	3	WBGene00019465	-	0.067	False	0.140637891078	3.0
III	8093015	8093038	2	WBGene00019460	+	0.047	False	0.105929082426	2.0
II	6891829	6891863	2	WBGene00016632	-	0.954	False	1.0	2.0
II	6891880	6891922	3	WBGene00016632	-	0.187	False	0.320407188461	3.0
II	6891945	6891979	6	WBGene00016632	-	0.0	True	0.0	6.0
II	6888677	6888705	2	WBGene00016630	-	0.301	False	0.465339449541	2.0
II	6889535	6889562	2	WBGene00016630	-	0.301	False	0.465339449541	2.0
IV	8494733	8494768	3	WBGene00016182	-	0.006	False	0.0184376590331	3.0
I	6187511	6187562	4	WBGene00020375	+	0.158	False	0.279645334636	3.0
I	6187803	6187837	6	WBGene00020375	+	0.0	True	0.0	6.0
I	6187900	6187933	2	WBGene00020375	+	0.929	False	1.0	2.0
