chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	7397283	7397310	2	WBGene00015567	+	0.081	False	0.14955752754	2.0
IV	14658005	14658046	8	WBGene00013323	+	0.0	True	0.0	8.0
IV	14658072	14658103	3	WBGene00013323	+	0.438	False	0.565929764454	3.0
V	11602203	11602245	3	WBGene00009388	+	0.046	False	0.096712195122	3.0
II	12678338	12678391	18	WBGene00014564	+	0.0	True	0.0	18.0
III	10612900	10612934	4	WBGene00012644	+	0.0	True	0.0	4.0
III	11306651	11306686	3	WBGene00004284	-	0.509	False	0.639588921283	3.0
III	11306810	11306871	12	WBGene00004284	-	0.0	True	0.0	12.0
I	5868543	5868582	2	WBGene00018008	-	0.895	False	1.0	2.0
I	5868713	5868777	5	WBGene00018008	-	0.109	False	0.188238694906	3.0
I	5868839	5868868	2	WBGene00018008	-	0.895	False	1.0	2.0
V	19692809	19692843	2	WBGene00003413	+	0.068	False	0.13151025641	2.0
I	7221713	7221749	3	WBGene00003622	+	0.032	False	0.0738103975535	3.0
I	10443729	10443760	2	WBGene00013719	-	0.037	False	0.082140544518	2.0
V	5550482	5550513	2	WBGene00015966	-	0.031	False	0.0720546995378	2.0
V	6917513	6917553	4	WBGene00023105	+	0.306	False	0.423098991751	4.0
IV	658181	658231	3	WBGene00023106	+	0.408	False	0.532872727273	3.0
III	2032939	2032974	2	WBGene00023109	-	0.694	False	0.821419380149	2.0
III	5714327	5714375	4	WBGene00015143	+	0.0	True	0.0	4.0
III	5714397	5714427	3	WBGene00015143	+	0.011	False	0.030871627907	3.0
IV	5382916	5382939	3	WBGene00018314	+	0.014	False	0.0380522522523	3.0
II	3971544	3971601	7	WBGene00004751	+	0.0	True	0.0	7.0
IV	16429629	16429681	3	WBGene00012423	+	0.024	False	0.058916192026	3.0
IV	16429703	16429747	2	WBGene00012423	+	0.577	False	0.707645934959	2.0
IV	8188743	8188794	3	WBGene00003961	+	0.003	False	0.0102735527809	3.0
I	9965614	9965643	2	WBGene00003397	+	0.963	False	1.0	2.0
I	9969366	9969412	14	WBGene00003397	+	0.0	True	0.0	14.0
I	9895904	9895946	4	WBGene00003396	-	0.0	True	0.0	4.0
III	6943296	6943364	6	WBGene00004133	-	0.0	True	0.0	5.0
V	18656130	18656175	4	WBGene00013481	-	0.0	True	0.0	4.0
I	8490856	8490887	4	WBGene00008385	+	0.0	True	0.0	4.0
IV	11818294	11818330	3	WBGene00010918	+	0.0	True	0.0	3.0
II	11595381	11595407	5	WBGene00008546	-	0.0	True	0.0	5.0
III	7642156	7642229	10	WBGene00023219	-	0.006	False	0.0185471311475	10.0
X	1629920	1629953	2	WBGene00023215	-	0.634	False	0.763584031936	2.0
III	10384882	10384907	2	WBGene00008019	+	0.035	False	0.0790973782772	2.0
IV	12331400	12331439	2	WBGene00008948	-	0.151	False	0.242451836083	2.0
V	17995340	17995381	2	WBGene00013352	-	0.608	False	0.736385387395	2.0
V	17995404	17995436	2	WBGene00013352	-	0.608	False	0.736385387395	2.0
V	17986314	17986356	4	WBGene00013353	+	0.003	False	0.0102735527809	4.0
V	17994164	17994234	5	WBGene00013353	+	0.003	False	0.0102735527809	4.0
I	1771460	1771504	3	WBGene00022160	-	0.037	False	0.082140544518	3.0
I	1775851	1775886	3	WBGene00022160	-	0.037	False	0.082140544518	3.0
V	2663025	2663068	2	WBGene00003579	-	0.206	False	0.30997605985	2.0
V	17966913	17966938	2	WBGene00013355	-	0.07	False	0.134344783715	2.0
IV	14061212	14061235	2	WBGene00003086	-	0.296	False	0.412676524954	2.0
IV	14061292	14061319	2	WBGene00003086	-	0.296	False	0.412676524954	2.0
X	13908448	13908490	5	WBGene00012514	-	0.0	True	0.0	5.0
I	10590286	10590312	2	WBGene00003083	+	0.274	False	0.389749174917	2.0
I	13575542	13575579	3	WBGene00013596	+	0.001	True	0.00394895287958	3.0
II	6384529	6384567	2	WBGene00019061	+	0.084	False	0.153965978129	2.0
II	13091241	13091272	2	WBGene00013591	+	0.03	False	0.0702172226532	2.0
II	5772915	5773004	24	WBGene00022984	-	0.002	True	0.00732281553398	18.0
V	4347165	4347199	4	WBGene00003159	+	0.008	False	0.0233649564376	4.0
V	4349571	4349626	7	WBGene00003159	+	0.0	True	0.0	7.0
V	4349634	4349675	3	WBGene00003159	+	0.145	False	0.234691523605	3.0
III	9798547	9798590	6	WBGene00003158	+	0.0	True	0.0	6.0
I	11764703	11764740	2	WBGene00006876	-	0.102	False	0.179123399302	2.0
I	14621301	14621333	9	WBGene00002978	-	0.0	True	0.0	9.0
I	14621364	14621417	9	WBGene00002978	-	0.0	True	0.0	8.0
I	14621427	14621466	5	WBGene00002978	-	0.02	False	0.0510922946655	5.0
