chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
III	13464502	13464530	2	WBGene00006439	+	0.037	False	0.106888888889	2.0
V	16341811	16341856	3	WBGene00014408	+	0.608	False	0.718545454545	3.0
III	2032935	2032977	4	WBGene00023109	-	0.286	False	0.381333333333	4.0
V	6099896	6099930	2	WBGene00000802	-	0.116	False	0.194580645161	2.0
I	6497437	6497483	2	WBGene00016943	+	0.041	False	0.112210526316	2.0
I	15060776	15060821	2	WBGene00004677	+	0.08	False	0.157793103448	2.0
II	11965359	11965397	2	WBGene00004271	-	0.052	False	0.128761904762	2.0
I	108878	108912	3	WBGene00004274	-	0.0	True	0.0	3.0
I	10435715	10435738	2	WBGene00003902	-	0.056	False	0.132363636364	2.0
X	8846750	8846792	2	WBGene00022948	+	0.819	False	0.838117647059	2.0
V	13128348	13128379	2	WBGene00001137	-	0.047	False	0.1222	2.0
I	7376715	7376747	2	WBGene00006754	-	0.186	False	0.261368421053	2.0
I	7377201	7377228	2	WBGene00006754	-	0.186	False	0.261368421053	2.0
III	13411360	13411403	2	WBGene00014376	-	0.814	False	0.838117647059	2.0
V	11071954	11071986	2	WBGene00000065	-	0.19	False	0.261368421053	2.0
X	4963052	4963086	2	WBGene00000066	+	0.101	False	0.175066666667	2.0
V	6765947	6765990	2	WBGene00020808	-	0.135	False	0.217454545455	2.0
X	8721649	8721674	2	WBGene00006587	-	0.076	False	0.157793103448	2.0
I	6836959	6836998	2	WBGene00019322	+	0.036	False	0.106888888889	2.0
II	10560261	10560291	2	WBGene00007352	-	0.03	False	0.106888888889	2.0
I	5080261	5080283	2	WBGene00016258	-	0.03	False	0.106888888889	2.0
II	6972725	6972763	2	WBGene00004930	-	0.086	False	0.157793103448	2.0
II	13834449	13834493	7	WBGene00045119	-	0.012	False	0.0845	7.0
V	4310642	4310684	2	WBGene00023207	+	0.8	False	0.838117647059	2.0
III	9082473	9082498	2	WBGene00001386	+	0.311	False	0.4043	2.0
X	7230825	7230848	2	WBGene00018519	-	0.085	False	0.157793103448	2.0
II	14635334	14635376	3	WBGene00014283	-	0.381	False	0.483219512195	3.0
V	9503595	9503637	2	WBGene00014423	+	0.789	False	0.838117647059	2.0
IV	2314740	2314766	2	WBGene00006912	-	0.031	False	0.106888888889	2.0
III	5875702	5875725	2	WBGene00017166	-	0.022	False	0.106888888889	2.0
V	11174263	11174294	2	WBGene00011839	+	0.036	False	0.106888888889	2.0
V	14445998	14446022	2	WBGene00009082	-	0.023	False	0.106888888889	2.0
III	5567294	5567319	2	WBGene00003371	+	0.062	False	0.140173913043	2.0
II	12944865	12944929	11	WBGene00006315	-	0.0	True	0.0	11.0
X	13857179	13857213	2	WBGene00010834	+	0.029	False	0.106888888889	2.0
II	14801349	14801390	4	WBGene00045372	-	0.191	False	0.261368421053	4.0
III	2679440	2679478	2	WBGene00002915	+	0.013	False	0.0845	2.0
II	9967356	9967388	3	WBGene00011273	-	0.036	False	0.106888888889	3.0
II	9968008	9968033	2	WBGene00011273	-	0.595	False	0.718545454545	2.0
X	3151411	3151456	2	WBGene00015791	-	0.069	False	0.1495	2.0
V	13027023	13027068	2	WBGene00014551	-	0.822	False	0.838117647059	2.0
X	12889974	12890024	10	WBGene00014416	+	0.0	True	0.0	10.0
X	12890284	12890312	2	WBGene00014417	-	0.63	False	0.728	2.0
X	14476867	14476940	3	WBGene00045133	+	0.989	False	0.989	2.0
X	12938178	12938215	3	WBGene00010430	+	0.516	False	0.638857142857	3.0
V	7827304	7827349	2	WBGene00003242	+	0.009	False	0.078	2.0
II	4872166	4872191	2	WBGene00000649	-	0.138	False	0.217454545455	2.0
V	6401429	6401460	3	WBGene00019017	-	0.0	True	0.0	3.0
V	4648060	4648093	2	WBGene00018297	-	0.088	False	0.157793103448	2.0
I	6136628	6136675	19	WBGene00023073	+	0.0	True	0.0	19.0
X	9091306	9091343	2	WBGene00023079	+	0.736	False	0.832	2.0
II	11731158	11731186	2	WBGene00000114	+	0.161	False	0.246235294118	2.0
