chrom	left	right	max_coverage	gene_id	strand	pval	height
X	7230825	7230858	2	WBGene00018519	-	0	2.0
I	15060297	15061163	6	WBGene00004677	+	0	4.0
II	7171883	7171945	3	WBGene00045091	+	0	3.0
II	13834446	13834522	2	WBGene00045119	-	0	2.0
II	6968452	6968522	2	WBGene00006344	-	0	2.0
III	9082471	9082500	2	WBGene00001386	+	0	2.0
I	6136628	6136680	2	WBGene00023073	+	0	2.0
V	6401429	6401460	2	WBGene00019017	-	0	2.0
II	12944862	12944946	4	WBGene00006315	-	0	4.0
X	12889974	12890030	3	WBGene00014416	+	0	3.0
