chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	8067962	8067994	2	WBGene00011510	+	0.145	False	0.251128144654	2.0
II	8068124	8068151	2	WBGene00011511	-	0.165	False	0.278967766692	2.0
II	8068163	8068186	2	WBGene00011511	-	0.165	False	0.278967766692	2.0
X	9964353	9964387	2	WBGene00013919	+	0.012	False	0.0322128350934	2.0
II	4325952	4325989	3	WBGene00003390	+	0.003	True	0.00945493562232	3.0
I	9965606	9965642	3	WBGene00003397	+	0.94	False	1.0	3.0
I	9969367	9969412	26	WBGene00003397	+	0.0	True	0.0	26.0
I	9969859	9969906	5	WBGene00003397	+	0.034	False	0.0782402506964	5.0
I	9895889	9895982	24	WBGene00003396	-	0.0	True	0.0	19.0
I	9897824	9897860	2	WBGene00003396	-	1.0	False	1.0	2.0
V	8358029	8358052	2	WBGene00003395	+	0.254	False	0.396009907997	2.0
V	8358055	8358087	2	WBGene00003395	+	0.254	False	0.396009907997	2.0
II	10030922	10030957	2	WBGene00009947	+	0.082	False	0.15869341142	2.0
III	2764573	2764636	5	WBGene00022182	-	0.0	True	0.0	4.0
II	11592438	11592482	4	WBGene00008546	-	0.007	False	0.0200359462971	4.0
II	11592486	11592538	6	WBGene00008546	-	0.0	True	0.0	6.0
II	11595381	11595407	6	WBGene00008546	-	0.0	True	0.0	6.0
III	10384882	10384907	2	WBGene00008019	+	0.031	False	0.072523539823	2.0
II	11614699	11614726	4	WBGene00008549	-	0.0	True	0.0	4.0
II	11615117	11615146	2	WBGene00008549	-	0.568	False	0.758672594988	2.0
II	11619387	11619417	3	WBGene00008549	-	0.019	False	0.0478913043478	3.0
V	2663025	2663067	2	WBGene00003579	-	0.192	False	0.314948622487	2.0
II	5782211	5782253	2	WBGene00022983	-	0.802	False	0.992216023961	2.0
I	13626609	13626660	3	WBGene00012351	-	0.157	False	0.267288253478	2.0
I	13658216	13658280	9	WBGene00012354	-	0.0	True	0.0	8.0
I	13658328	13658361	5	WBGene00012354	-	0.041	False	0.0912968328841	5.0
I	13658363	13658399	6	WBGene00012354	-	0.005	False	0.0148851351351	6.0
III	10736975	10737004	3	WBGene00012359	-	0.171	False	0.287494021877	3.0
III	10737101	10737132	3	WBGene00012359	-	0.171	False	0.287494021877	3.0
III	10737166	10737208	7	WBGene00012359	-	0.0	True	0.0	6.0
III	11091463	11091512	4	WBGene00012358	+	0.014	False	0.0367166666667	4.0
