chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	12678338	12678392	17	WBGene00014564	+	0.0	True	0.0	17.0
II	14006538	14006571	2	WBGene00008496	+	0.046	False	0.115077966102	2.0
V	6917513	6917555	3	WBGene00023105	+	0.405	False	0.55044198895	3.0
IV	658200	658230	2	WBGene00023106	+	0.564	False	0.713948542024	2.0
III	2032939	2032981	2	WBGene00023109	-	0.723	False	0.850815286624	2.0
V	5576220	5576251	2	WBGene00219824	+	0.724	False	0.850815286624	2.0
II	10857848	10857877	2	WBGene00010911	-	0.026	False	0.082	2.0
III	7642157	7642209	3	WBGene00023219	-	0.57	False	0.717849829352	3.0
X	7773215	7773257	2	WBGene00023210	+	0.721	False	0.849996805112	2.0
II	11614940	11614974	2	WBGene00008549	-	0.026	False	0.082	2.0
III	4152227	4152251	2	WBGene00007630	+	0.064	False	0.141837837838	2.0
I	1771461	1771500	2	WBGene00022160	-	0.033	False	0.0933103448276	2.0
II	6384524	6384557	3	WBGene00019061	+	0.002	False	0.0110149253731	3.0
II	5772915	5772977	4	WBGene00022984	-	0.691	False	0.822512903226	3.0
IV	12043453	12043492	2	WBGene00011738	-	0.014	False	0.0540942408377	2.0
V	4349651	4349679	2	WBGene00003159	+	0.017	False	0.0615	2.0
I	14621301	14621333	7	WBGene00002978	-	0.0	True	0.0	7.0
I	14621364	14621417	6	WBGene00002978	-	0.01	False	0.0412290502793	5.0
I	14621427	14621460	4	WBGene00002978	-	0.107	False	0.202476923077	4.0
I	14621506	14621543	2	WBGene00002978	-	1.0	False	1.0	2.0
I	14630958	14630986	3	WBGene00002978	-	0.728	False	0.854155802862	3.0
I	1316861	1316891	2	WBGene00003400	+	0.009	False	0.0375254237288	2.0
IV	3296760	3296789	2	WBGene00021088	+	0.37	False	0.51520754717	2.0
X	15146557	15146608	9	WBGene00012350	-	0.001	True	0.00636206896552	9.0
V	9343271	9343301	4	WBGene00019466	-	0.0	True	0.0	4.0
