chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	8067962	8067994	3	WBGene00011510	+	0.008	False	0.0223744647723	3.0
II	8068124	8068151	2	WBGene00011511	-	0.166	False	0.286021582734	2.0
II	8068163	8068186	2	WBGene00011511	-	0.166	False	0.286021582734	2.0
X	9964353	9964387	2	WBGene00013919	+	0.022	False	0.0540965092402	2.0
II	4325952	4325989	3	WBGene00003390	+	0.004	False	0.0121470836855	3.0
I	9965606	9965642	5	WBGene00003397	+	0.057	False	0.12095245127	5.0
I	9969367	9969423	27	WBGene00003397	+	0.0	True	0.0	27.0
I	9969859	9969931	7	WBGene00003397	+	0.006	False	0.0173480885312	6.0
I	9895889	9895982	25	WBGene00003396	-	0.0	True	0.0	20.0
I	9897824	9897860	2	WBGene00003396	-	1.0	False	1.0	2.0
V	8358029	8358052	2	WBGene00003395	+	0.259	False	0.408005919754	2.0
V	8358055	8358087	2	WBGene00003395	+	0.259	False	0.408005919754	2.0
II	10030922	10030957	2	WBGene00009947	+	0.078	False	0.155029045643	2.0
III	2764573	2764636	5	WBGene00022182	-	0.001	True	0.0034345124283	4.0
II	11592432	11592482	4	WBGene00008546	-	0.009	False	0.0249190751445	4.0
II	11592486	11592538	7	WBGene00008546	-	0.0	True	0.0	7.0
II	11595381	11595407	6	WBGene00008546	-	0.0	True	0.0	6.0
III	10384882	10384907	2	WBGene00008019	+	0.022	False	0.0540965092402	2.0
II	11614699	11614726	4	WBGene00008549	-	0.0	True	0.0	4.0
II	11615117	11615146	2	WBGene00008549	-	0.599	False	0.796560244309	2.0
II	11619387	11619417	3	WBGene00008549	-	0.021	False	0.0519755425422	3.0
III	4152749	4152799	2	WBGene00007630	+	0.483	False	0.671898354308	2.0
V	2663025	2663067	2	WBGene00003579	-	0.19	False	0.318588098016	2.0
II	5782211	5782253	2	WBGene00022983	-	0.804	False	0.99909028018	2.0
X	8638958	8639002	2	WBGene00022986	+	0.68	False	0.878741007194	2.0
II	5772915	5772999	32	WBGene00022984	-	0.003	True	0.00941677588467	22.0
I	13626607	13626660	4	WBGene00012351	-	0.013	False	0.0344922451994	3.0
X	15146557	15146620	22	WBGene00012350	-	0.0	True	0.0	22.0
I	13658216	13658280	10	WBGene00012354	-	0.0	True	0.0	9.0
I	13658328	13658361	5	WBGene00012354	-	0.059	False	0.124351716046	5.0
I	13658363	13658399	6	WBGene00012354	-	0.008	False	0.0223744647723	6.0
III	10736975	10737004	3	WBGene00012359	-	0.23	False	0.372112136906	3.0
III	10737101	10737132	3	WBGene00012359	-	0.23	False	0.372112136906	3.0
III	10737166	10737208	7	WBGene00012359	-	0.0	True	0.0	6.0
III	11091463	11091512	4	WBGene00012358	+	0.016	False	0.0411011798355	4.0
III	11091538	11091580	3	WBGene00012358	+	0.17	False	0.291237482117	3.0
V	9343271	9343301	3	WBGene00019466	-	0.016	False	0.0411011798355	3.0
V	9331342	9331384	6	WBGene00019464	+	0.0	True	0.0	6.0
V	9327263	9327300	3	WBGene00019465	-	0.049	False	0.106524962179	3.0
V	9327385	9327422	4	WBGene00019465	-	0.002	True	0.0064788097385	4.0
II	6891831	6891863	3	WBGene00016632	-	0.29	False	0.445509942271	3.0
II	6891882	6891922	4	WBGene00016632	-	0.028	False	0.0667042440318	4.0
II	6891947	6891980	8	WBGene00016632	-	0.0	True	0.0	8.0
II	6888665	6888705	3	WBGene00016630	-	0.087	False	0.1683984375	3.0
II	6889483	6889507	2	WBGene00016630	-	0.837	False	1.0	2.0
II	6889537	6889563	3	WBGene00016630	-	0.087	False	0.1683984375	3.0
IV	8494739	8494768	2	WBGene00016182	-	0.099	False	0.186598898216	2.0
III	8267910	8267957	4	WBGene00017321	-	0.005	False	0.0147717927632	4.0
II	5756933	5756965	2	WBGene00017325	-	0.153	False	0.266498181818	2.0
III	475175	475225	4	WBGene00017328	+	0.016	False	0.0411011798355	4.0
III	475247	475309	8	WBGene00017328	+	0.0	True	0.0	8.0
IV	5361072	5361107	3	WBGene00018318	+	0.001	True	0.0034345124283	3.0
II	1490013	1490064	2	WBGene00019209	-	0.023	False	0.0563049403748	2.0
III	6321301	6321332	5	WBGene00016980	-	0.0	True	0.0	5.0
III	6323177	6323219	2	WBGene00016980	-	0.936	False	1.0	2.0
