chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
III	13464492	13464534	2	WBGene00006439	+	0.247	False	0.439863013699	2.0
II	12678346	12678391	8	WBGene00014564	+	0.032	False	0.126176470588	8.0
V	6917480	6917556	3	WBGene00023105	+	0.57	False	0.7125	3.0
I	8612815	8612838	2	WBGene00009666	-	0.033	False	0.126176470588	2.0
V	6099896	6099936	2	WBGene00000802	-	0.21	False	0.39	2.0
II	6968456	6968520	6	WBGene00006344	-	0.0	True	0.0	6.0
X	6408610	6408652	2	WBGene00003495	-	0.036	False	0.126486486486	2.0
III	7642161	7642196	2	WBGene00023219	-	0.701	False	0.801666666667	2.0
V	6435757	6435783	2	WBGene00020269	+	0.03	False	0.125806451613	2.0
II	14409515	14409561	5	WBGene00197433	-	0.127	False	0.270655737705	5.0
X	8507918	8507946	2	WBGene00019148	+	0.014	False	0.0791304347826	2.0
I	14621310	14621358	2	WBGene00002978	-	0.47	False	0.636458333333	2.0
I	14630958	14630985	2	WBGene00002978	-	0.47	False	0.636458333333	2.0
I	5040976	5041020	2	WBGene00002979	+	0.1	False	0.234912280702	2.0
V	11980214	11980250	2	WBGene00014291	+	0.389	False	0.57404494382	2.0
V	10896892	10896926	3	WBGene00001303	-	0.014	False	0.0791304347826	3.0
IV	7506651	7506691	2	WBGene00019900	-	0.264	False	0.4576	2.0
III	9862022	9862071	3	WBGene00014444	-	0.393	False	0.57404494382	3.0
X	11967902	11967937	2	WBGene00008205	+	0.074	False	0.1924	2.0
X	16380846	16380871	2	WBGene00002280	-	0.055	False	0.158260869565	2.0
X	8846755	8846795	2	WBGene00022948	+	0.732	False	0.826666666667	2.0
X	5485129	5485161	2	WBGene00022941	+	0.661	False	0.792882882883	2.0
II	11959407	11959450	3	WBGene00014539	+	0.484	False	0.648659793814	3.0
X	11095710	11095737	2	WBGene00014538	+	0.515	False	0.6695	2.0
I	2929503	2929533	2	WBGene00022122	+	0.044	False	0.136046511628	2.0
III	12905547	12905575	2	WBGene00012553	+	0.069	False	0.18306122449	2.0
I	6136629	6136679	11	WBGene00023073	+	0.001	False	0.0108333333333	11.0
I	7377186	7377228	3	WBGene00006754	-	0.009	False	0.0615789473684	3.0
X	9090842	9090904	2	WBGene00023078	+	0.738	False	0.826666666667	2.0
V	19050545	19050578	2	WBGene00000214	-	0.035	False	0.126486486486	2.0
III	13411360	13411404	2	WBGene00014376	-	0.822	False	0.869837398374	2.0
V	11071960	11071991	2	WBGene00000065	-	0.271	False	0.463552631579	2.0
X	4964154	4964188	2	WBGene00000066	+	0.595	False	0.736666666667	2.0
II	7155416	7155450	2	WBGene00016173	+	0.04	False	0.13	2.0
I	6836962	6836994	2	WBGene00019322	+	0.203	False	0.382463768116	2.0
MtDNA	9601	9643	2	WBGene00014470	+	0.858	False	0.899516129032	2.0
X	12563824	12563866	2	WBGene00014474	+	0.703	False	0.801666666667	2.0
III	4016882	4016912	2	WBGene00006537	-	0.161	False	0.322	2.0
X	10124532	10124577	2	WBGene00014507	+	0.676	False	0.792882882883	2.0
X	16262596	16262620	2	WBGene00003485	-	0.056	False	0.158260869565	2.0
II	13834446	13834496	12	WBGene00045119	-	0.0	True	0.0	12.0
IV	12269004	12269032	2	WBGene00004448	+	0.081	False	0.2025	2.0
II	13448912	13448950	2	WBGene00004116	-	0.022	False	0.11	2.0
II	7106233	7106258	2	WBGene00004447	+	0.084	False	0.206037735849	2.0
III	9082471	9082500	4	WBGene00001386	+	0.0	True	0.0	4.0
X	9373148	9373191	2	WBGene00022973	-	0.806	False	0.869837398374	2.0
I	14855948	14855983	2	WBGene00006789	-	0.348	False	0.543214285714	2.0
I	14856087	14856117	2	WBGene00006789	-	0.348	False	0.543214285714	2.0
I	14859520	14859559	2	WBGene00006789	-	0.348	False	0.543214285714	2.0
X	7230708	7230734	2	WBGene00018519	-	0.823	False	0.869837398374	2.0
X	7230825	7230856	5	WBGene00018519	-	0.0	True	0.0	5.0
X	7231430	7231482	2	WBGene00018519	-	0.823	False	0.869837398374	2.0
II	14635334	14635367	3	WBGene00014283	-	0.309	False	0.508481012658	3.0
III	10339090	10339118	2	WBGene00011561	+	0.217	False	0.397323943662	2.0
X	8609029	8609072	2	WBGene00023085	+	0.821	False	0.869837398374	2.0
X	13443385	13443419	6	WBGene00014304	-	0.017	False	0.0920833333333	6.0
IV	7499555	7499585	3	WBGene00006967	+	0.154	False	0.3128125	3.0
I	9472509	9472531	2	WBGene00004807	+	0.039	False	0.13	2.0
MtDNA	8177	8206	2	WBGene00010964	+	0.431	False	0.60247311828	2.0
