chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
V	6401429	6401458	2	WBGene00019017	-	0.008	False	0.0373333333333	2.0
III	6176339	6176375	2	WBGene00018342	-	0.116	False	0.1624	2.0
V	16341811	16341854	2	WBGene00014408	+	0.824	False	0.824	2.0
MtDNA	5455	5487	2	WBGene00000829	+	0.06	False	0.11375	2.0
X	14477242	14477275	2	WBGene00045371	+	0.632	False	0.680615384615	2.0
II	12944865	12944896	10	WBGene00006315	-	0.0	True	0.0	10.0
I	6136628	6136675	15	WBGene00023073	+	0.0	True	0.0	15.0
X	9091306	9091343	3	WBGene00023079	+	0.453	False	0.5285	3.0
II	10658318	10658343	2	WBGene00010896	-	0.065	False	0.11375	2.0
IV	2655078	2655104	2	WBGene00194996	-	0.366	False	0.465818181818	2.0
X	12889977	12890019	7	WBGene00014416	+	0.021	False	0.0588	7.0
V	12354139	12354172	2	WBGene00005018	+	0.057	False	0.11375	2.0
V	14352014	14352041	2	WBGene00013025	+	0.015	False	0.0525	2.0
II	13834446	13834505	5	WBGene00045119	-	0.105	False	0.1624	5.0
