chrom	left	right	max_coverage	gene_id	strand	pval	height	gene_name	Fold change SP/OO GL	Classification OO/SP GL	Oo. expression	Sp. expression	Wormbase ID	Program	WB ID	biotype	chrm	location
I	5866649	5866700	2	WBGene00018007	-	0	2.0	F33D11.10	0.03593469	Gender Neutral	164.261	160.053	WBGene00018007	Oogenic only	WBGene00018007	protein_coding	I	3'UTR
II	7397275	7397311	2	WBGene00015567	+	0	2.0	bath-44	-0.0167817	Gender Neutral	72.5013	70.0181	WBGene00015567	Oogenic only	WBGene00015567	protein_coding	II	3'UTR
I	14778228	14778283	2	WBGene00006349	-	0	2.0	sur-2	-1.955973	Oogenic	19.7388	4.89528	WBGene00006349	Oogenic only	WBGene00006349	protein_coding	I	CDS
III	13464290	13464545	7	WBGene00006439	+	0	4.0	ant-1.1	-0.389592	Gender Neutral	2416.79	1769.42	WBGene00006439	Oogenic and Spermatogenic	WBGene00006439	protein_coding	III	3'UTR
III	13464610	13464649	2	WBGene00006439	+	0	2.0	ant-1.1	-0.389592	Gender Neutral	2416.79	1769.42	WBGene00006439	Oogenic and Spermatogenic	WBGene00006439	protein_coding	III	3'UTR
I	1841431	1841493	3	WBGene00001196	+	0	3.0	egl-30					WBGene00001196	Oogenic and Spermatogenic	WBGene00001196	protein_coding	I	3'UTR
IV	7961907	7961941	2	WBGene00017641	+	0	2.0	csr-1	0.5165941	Gender Neutral	249.519	324.594	WBGene00017641	Oogenic only	WBGene00017641	protein_coding	IV	3'UTR
II	5379538	5379574	2	WBGene00006434	+	0	2.0	prdx-2	-1.109306	Oogenic	882.573	389.157	WBGene00006434	Oogenic only	WBGene00006434	protein_coding	II	3'UTR
III	783035	783087	4	WBGene00018364	-	0	4.0	dagl-2					WBGene00018364	Oogenic only	WBGene00018364	protein_coding	III	CDS
III	10612882	10612948	4	WBGene00012644	+	0	4.0	rabx-5	-0.6437209	Gender Neutral	47.7036	29.611	WBGene00012644	Oogenic only	WBGene00012644	protein_coding	III	3'UTR
III	11306806	11306873	4	WBGene00004284	-	0	4.0	rab-35	-1.533682	Oogenic	56.1002	18.9827	WBGene00004284	Oogenic only	WBGene00004284	protein_coding	III	3'UTR
III	10596727	10596780	2	WBGene00012641	-	0	2.0	epg-6	-0.9440982	Gender Neutral	88.8604	49.4404	WBGene00012641	Oogenic only	WBGene00012641	protein_coding	III	3'UTR
I	5868713	5868763	2	WBGene00018008	-	0	2.0	vpr-1	0.2039515	Gender Neutral	204.964	229.683	WBGene00018008	Oogenic only	WBGene00018008	protein_coding	I	3'UTR
