chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	12678347	12678391	6	WBGene00014564	+	0.067	False	0.1854375	6.0
I	15060298	15060371	9	WBGene00004677	+	0.572	False	0.745333333333	9.0
I	15060430	15060458	2	WBGene00004677	+	1.0	False	1.0	2.0
I	15060553	15060607	6	WBGene00004677	+	1.0	False	1.0	6.0
I	15060616	15060650	3	WBGene00004677	+	1.0	False	1.0	3.0
I	15060781	15060817	2	WBGene00004677	+	1.0	False	1.0	2.0
I	15060868	15060980	49	WBGene00004677	+	0.0	True	0.0	24.0
I	15060992	15061099	19	WBGene00004677	+	0.0	True	0.0	16.0
II	6968456	6968520	2	WBGene00006344	-	0.365	False	0.563448275862	2.0
V	12683383	12683414	2	WBGene00014437	-	0.558	False	0.745333333333	2.0
X	4962997	4963020	2	WBGene00000066	+	0.027	False	0.1161	2.0
V	6401429	6401458	2	WBGene00019017	-	0.008	False	0.0688	2.0
III	6176339	6176375	2	WBGene00018342	-	0.11	False	0.276105263158	2.0
X	10124534	10124577	3	WBGene00014507	+	0.377	False	0.563448275862	3.0
I	754717	754764	3	WBGene00023169	+	0.38	False	0.563448275862	3.0
II	14409515	14409563	5	WBGene00197433	-	0.119	False	0.276105263158	5.0
MtDNA	5455	5487	2	WBGene00000829	+	0.062	False	0.1854375	2.0
X	59803	59840	2	WBGene00195519	+	0.24	False	0.516	2.0
V	11478243	11478286	2	WBGene00014517	+	0.517	False	0.741033333333	2.0
V	14028544	14028580	2	WBGene00014511	-	0.306	False	0.563448275862	2.0
II	12944865	12944925	11	WBGene00006315	-	0.0	True	0.0	11.0
I	6136630	6136672	6	WBGene00023073	+	0.043	False	0.154083333333	6.0
X	9091306	9091340	2	WBGene00023079	+	0.725	False	0.820394736842	2.0
IV	12782145	12782172	4	WBGene00014631	+	0.021	False	0.100333333333	4.0
X	13665639	13665676	3	WBGene00000308	+	0.33	False	0.563448275862	3.0
V	11412264	11412289	2	WBGene00014422	-	0.541	False	0.745333333333	2.0
X	13443385	13443418	3	WBGene00014304	-	0.325	False	0.563448275862	3.0
V	12354139	12354172	2	WBGene00005018	+	0.04	False	0.154083333333	2.0
II	10658318	10658343	2	WBGene00010896	-	0.053	False	0.175307692308	2.0
V	9086919	9086963	3	WBGene00194993	-	0.069	False	0.1854375	3.0
IV	2655078	2655104	2	WBGene00194996	-	0.357	False	0.563448275862	2.0
II	7171912	7171944	5	WBGene00045091	+	0.002	False	0.0215	5.0
X	15146561	15146603	2	WBGene00012350	-	0.669	False	0.799083333333	2.0
X	14477242	14477275	2	WBGene00045371	+	0.645	False	0.792428571429	2.0
II	13059744	13059774	2	WBGene00006999	+	0.019	False	0.100333333333	2.0
II	13834446	13834505	5	WBGene00045119	-	0.122	False	0.276105263158	5.0
V	8230212	8230252	3	WBGene00022934	-	0.31	False	0.563448275862	3.0
X	12889977	12890019	7	WBGene00014416	+	0.014	False	0.086	7.0
X	12890284	12890312	2	WBGene00014417	-	0.597	False	0.755029411765	2.0
V	14352014	14352041	2	WBGene00013025	+	0.014	False	0.086	2.0
V	8235457	8235501	2	WBGene00022933	-	0.694	False	0.806540540541	2.0
IV	12005597	12005660	3	WBGene00014625	-	0.997	False	1.0	2.0
X	14115722	14115764	4	WBGene00014354	+	0.323	False	0.563448275862	4.0
