chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	14006538	14006571	2	WBGene00008496	+	0.032	False	0.094358974359	2.0
IV	658200	658230	2	WBGene00023106	+	0.527	False	0.650107066381	2.0
III	2032939	2032981	7	WBGene00023109	-	0.034	False	0.09775	7.0
V	5576220	5576251	2	WBGene00219824	+	0.741	False	0.842045454545	2.0
II	10857848	10857877	2	WBGene00010911	-	0.027	False	0.0848360655738	2.0
III	7642157	7642209	3	WBGene00023219	-	0.58	False	0.691908713693	3.0
X	7773215	7773257	2	WBGene00023210	+	0.727	False	0.832206759443	2.0
II	11614940	11614974	2	WBGene00008549	-	0.02	False	0.0692771084337	2.0
II	6384524	6384557	2	WBGene00019061	+	0.073	False	0.152636363636	2.0
V	4349651	4349679	2	WBGene00003159	+	0.016	False	0.0605263157895	2.0
I	14621301	14621333	7	WBGene00002978	-	0.0	True	0.0	7.0
I	14621364	14621427	6	WBGene00002978	-	0.149	False	0.250511695906	4.0
I	14621427	14621460	4	WBGene00002978	-	0.149	False	0.250511695906	4.0
I	14621506	14621543	2	WBGene00002978	-	1.0	False	1.0	2.0
I	14630958	14630986	3	WBGene00002978	-	0.735	False	0.836881188119	3.0
IV	3103642	3103668	2	WBGene00003153	-	0.113	False	0.206132075472	2.0
I	1316861	1316891	2	WBGene00003400	+	0.017	False	0.063474025974	2.0
V	9327468	9327493	2	WBGene00019465	-	0.038	False	0.102102803738	2.0
III	5943766	5943792	3	WBGene00006727	+	0.0	True	0.0	3.0
X	9160565	9160600	2	WBGene00006479	+	0.135	False	0.23594224924	2.0
V	4413528	4413583	4	WBGene00001714	-	0.004	False	0.0193277310924	4.0
X	16380681	16380705	2	WBGene00002280	-	0.946	False	1.0	2.0
X	16380785	16380816	7	WBGene00002280	-	0.0	True	0.0	7.0
X	16380846	16380873	2	WBGene00002280	-	0.946	False	1.0	2.0
X	16380910	16380934	2	WBGene00002280	-	0.946	False	1.0	2.0
X	16381397	16381421	2	WBGene00002280	-	0.946	False	1.0	2.0
X	6535143	6535174	2	WBGene00017691	-	0.195	False	0.305517711172	2.0
III	6463005	6463036	3	WBGene00001005	-	0.037	False	0.100353773585	3.0
X	5484474	5484506	2	WBGene00001006	+	0.042	False	0.108295964126	2.0
X	8050892	8050919	3	WBGene00001000	-	0.019	False	0.0670245398773	3.0
X	8051394	8051421	2	WBGene00001000	-	0.486	False	0.610152838428	2.0
III	1625769	1625798	2	WBGene00002025	+	0.265	False	0.38673857868	2.0
IV	8378007	8378042	4	WBGene00017075	-	0.0	True	0.0	4.0
IV	6974558	6974589	3	WBGene00003992	-	0.001	True	0.00618279569892	3.0
IV	8857097	8857121	2	WBGene00001132	+	0.11	False	0.202724358974	2.0
II	9329469	9329500	2	WBGene00001134	+	0.012	False	0.05	2.0
V	13129484	13129511	2	WBGene00001137	-	0.154	False	0.254454022989	2.0
V	12354136	12354219	9	WBGene00005018	+	0.0	True	0.0	5.0
III	8890082	8890108	2	WBGene00014022	+	0.058	False	0.131299212598	2.0
III	13411360	13411404	4	WBGene00014376	-	0.356	False	0.493253012048	4.0
V	11071716	11071776	4	WBGene00000065	-	0.552	False	0.665408805031	3.0
V	11071840	11071891	6	WBGene00000065	-	0.0	True	0.0	6.0
V	11071954	11072030	10	WBGene00000065	-	0.0	True	0.0	9.0
X	4963031	4963092	4	WBGene00000066	+	0.805	False	0.898158914729	3.0
X	4963432	4963462	2	WBGene00000066	+	1.0	False	1.0	2.0
X	4964056	4964101	6	WBGene00000066	+	0.001	True	0.00618279569892	6.0
X	4964339	4964401	10	WBGene00000066	+	0.0	True	0.0	9.0
V	11082357	11082405	4	WBGene00000063	+	0.001	True	0.00618279569892	4.0
III	7278736	7278772	7	WBGene00194828	+	0.922	False	1.0	7.0
X	13284768	13284812	2	WBGene00014480	-	0.724	False	0.830938123752	2.0
X	17460395	17460431	2	WBGene00003369	+	0.146	False	0.249109792285	2.0
