chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	7396863	7396905	2	WBGene00015567	+	0.825	False	0.946403038427	2.0
II	7397278	7397311	7	WBGene00015567	+	0.0	True	0.0	7.0
I	5866649	5866700	5	WBGene00018007	-	0.0	True	0.0	5.0
V	11602009	11602051	2	WBGene00009388	+	0.294	False	0.413813596491	2.0
V	11602207	11602242	2	WBGene00009388	+	0.294	False	0.413813596491	2.0
III	10612717	10612742	2	WBGene00012644	+	0.664	False	0.803350298461	2.0
III	10612900	10612933	5	WBGene00012644	+	0.0	True	0.0	5.0
III	10613096	10613138	2	WBGene00012644	+	0.664	False	0.803350298461	2.0
III	11306828	11306872	8	WBGene00004284	-	0.0	True	0.0	8.0
I	5862797	5862840	4	WBGene00018009	-	0.001	True	0.00370288461538	4.0
I	5868384	5868412	3	WBGene00018008	-	0.505	False	0.646742600599	3.0
I	5868498	5868525	2	WBGene00018008	-	0.998	False	1.0	2.0
I	5868543	5868593	4	WBGene00018008	-	0.07	False	0.132077413033	4.0
I	5868715	5868762	5	WBGene00018008	-	0.002	True	0.00694499549143	5.0
III	4471660	4471714	18	WBGene00004132	-	0.0	True	0.0	18.0
III	4471743	4471779	2	WBGene00004132	-	1.0	False	1.0	2.0
III	4471791	4471838	13	WBGene00004132	-	0.0	True	0.0	13.0
III	4471847	4471876	5	WBGene00004132	-	0.177	False	0.271781100478	5.0
III	4471886	4471944	5	WBGene00004132	-	0.72	False	0.858693093837	4.0
III	4472006	4472102	20	WBGene00004132	-	0.0	True	0.0	18.0
III	4472265	4472310	3	WBGene00004132	-	1.0	False	1.0	2.0
III	4472359	4472389	4	WBGene00004132	-	0.72	False	0.858693093837	4.0
I	7221419	7221448	2	WBGene00003622	+	0.981	False	1.0	2.0
I	7221463	7221566	8	WBGene00003622	+	0.018	False	0.0454842519685	4.0
I	7221713	7221740	2	WBGene00003622	+	0.981	False	1.0	2.0
II	9361071	9361113	3	WBGene00003196	+	0.197	False	0.297275470219	3.0
II	9365722	9365756	6	WBGene00003196	+	0.0	True	0.0	6.0
II	9368867	9368902	3	WBGene00003196	+	0.197	False	0.297275470219	3.0
II	9368914	9368963	7	WBGene00003196	+	0.0	True	0.0	7.0
III	5029287	5029329	2	WBGene00020092	+	0.841	False	0.960181144382	2.0
III	5029407	5029449	2	WBGene00020092	+	0.841	False	0.960181144382	2.0
III	5029599	5029635	6	WBGene00020092	+	0.0	True	0.0	6.0
II	11300766	11300792	3	WBGene00008166	+	0.003	True	0.00995948275862	3.0
II	11301047	11301078	2	WBGene00008166	+	0.161	False	0.251934579439	2.0
IV	658181	658229	6	WBGene00023106	+	0.033	False	0.0742741087084	6.0
III	2032936	2032980	10	WBGene00023109	-	0.007	False	0.0205152207002	10.0
III	5714337	5714374	7	WBGene00015143	+	0.0	True	0.0	7.0
III	5714396	5714427	2	WBGene00015143	+	0.761	False	0.894024100061	2.0
IV	5372973	5373015	2	WBGene00018316	+	0.463	False	0.604616141065	2.0
IV	5374439	5374478	3	WBGene00018316	+	0.02	False	0.049594333548	3.0
IV	5374529	5374558	2	WBGene00018316	+	0.463	False	0.604616141065	2.0
IV	12355842	12355889	3	WBGene00004756	-	0.01	False	0.0278050541516	3.0
V	20105527	20105596	2	WBGene00004754	+	0.025	False	0.059136977887	2.0
IV	11565948	11565990	2	WBGene00004755	-	0.209	False	0.311719209915	2.0
IV	16429628	16429689	7	WBGene00012423	+	0.0	True	0.0	7.0
IV	16429694	16429747	5	WBGene00012423	+	0.009	False	0.0254471365639	5.0
IV	16429818	16429857	2	WBGene00012423	+	1.0	False	1.0	2.0
X	7820331	7820361	2	WBGene00004758	+	0.037	False	0.0809585227273	2.0
II	4325952	4325989	3	WBGene00003390	+	0.001	True	0.00370288461538	3.0
