chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
III	13464492	13464534	2	WBGene00006439	+	0.255	False	0.377946428571	2.0
V	16341811	16341854	2	WBGene00014408	+	0.786	False	0.825797468354	2.0
III	2032939	2032971	2	WBGene00023109	-	0.672	False	0.764054794521	2.0
I	8612815	8612838	2	WBGene00009666	-	0.032	False	0.120727272727	2.0
V	6099896	6099936	2	WBGene00000802	-	0.199	False	0.311641509434	2.0
III	7642161	7642196	2	WBGene00023219	-	0.696	False	0.780648648649	2.0
V	6435757	6435783	2	WBGene00020269	+	0.018	False	0.0876111111111	2.0
X	8507918	8507946	2	WBGene00019148	+	0.007	False	0.0484166666667	2.0
I	14621310	14621358	2	WBGene00002978	-	0.485	False	0.575071428571	2.0
I	14630958	14630985	2	WBGene00002978	-	0.485	False	0.575071428571	2.0
I	5040976	5041020	2	WBGene00002979	+	0.116	False	0.223906976744	2.0
V	10896892	10896926	2	WBGene00001303	-	0.137	False	0.250765957447	2.0
IV	7506651	7506691	2	WBGene00019900	-	0.266	False	0.387333333333	2.0
X	16380846	16380871	2	WBGene00002280	-	0.061	False	0.144657142857	2.0
X	8846755	8846795	2	WBGene00022948	+	0.735	False	0.796584415584	2.0
II	11959407	11959450	2	WBGene00014539	+	0.82	False	0.850243902439	2.0
I	2929503	2929533	2	WBGene00022122	+	0.051	False	0.134875	2.0
III	12905547	12905575	2	WBGene00012553	+	0.06	False	0.144657142857	2.0
I	6136628	6136679	17	WBGene00023073	+	0.0	True	0.0	17.0
V	19050545	19050578	2	WBGene00000214	-	0.039	False	0.126037037037	2.0
II	14798098	14798127	2	WBGene00001225	+	0.051	False	0.134875	2.0
III	13411360	13411404	2	WBGene00014376	-	0.84	False	0.850243902439	2.0
V	11071954	11071991	2	WBGene00000065	-	0.191	False	0.306461538462	2.0
X	4964154	4964188	2	WBGene00000066	+	0.274	False	0.392103448276	2.0
II	7155416	7155450	2	WBGene00016173	+	0.04	False	0.126037037037	2.0
I	6836962	6836994	2	WBGene00019322	+	0.09	False	0.18675	2.0
MtDNA	9601	9643	2	WBGene00014470	+	0.875	False	0.875	2.0
III	4016882	4016912	2	WBGene00006537	-	0.177	False	0.29382	2.0
X	16262596	16262620	2	WBGene00003485	-	0.078	False	0.174972972973	2.0
II	13834446	13834496	11	WBGene00045119	-	0.002	False	0.0237142857143	11.0
V	4310643	4310690	5	WBGene00023207	+	0.244	False	0.368218181818	5.0
II	7106233	7106258	2	WBGene00004447	+	0.076	False	0.174972972973	2.0
III	9082471	9082500	4	WBGene00001386	+	0.0	True	0.0	4.0
I	14855948	14855983	2	WBGene00006789	-	0.304	False	0.406967741935	2.0
I	14856087	14856117	2	WBGene00006789	-	0.304	False	0.406967741935	2.0
I	14859520	14859559	2	WBGene00006789	-	0.304	False	0.406967741935	2.0
X	7230708	7230734	2	WBGene00018519	-	0.83	False	0.850243902439	2.0
X	7230825	7230856	5	WBGene00018519	-	0.0	True	0.0	5.0
III	10339090	10339118	2	WBGene00011561	+	0.215	False	0.330462962963	2.0
IV	7499555	7499585	3	WBGene00006967	+	0.142	False	0.250765957447	3.0
V	9159637	9159672	3	WBGene00000717	-	0.008	False	0.0510769230769	3.0
I	9472509	9472531	2	WBGene00004807	+	0.041	False	0.126037037037	2.0
MtDNA	8177	8206	2	WBGene00010964	+	0.445	False	0.543161764706	2.0
MtDNA	8521	8566	2	WBGene00010964	+	0.445	False	0.543161764706	2.0
