chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	7397283	7397310	2	WBGene00015567	+	0.158	False	0.248655737705	2.0
IV	14658005	14658046	7	WBGene00013323	+	0.0	True	0.0	7.0
IV	14658072	14658103	3	WBGene00013323	+	0.335	False	0.450690690691	3.0
V	11602203	11602245	3	WBGene00009388	+	0.043	False	0.0925412329864	3.0
III	10612900	10612934	5	WBGene00012644	+	0.0	True	0.0	5.0
III	11306651	11306686	3	WBGene00004284	-	0.521	False	0.648055529847	3.0
III	11306810	11306871	12	WBGene00004284	-	0.0	True	0.0	12.0
I	5868543	5868582	2	WBGene00018008	-	0.896	False	0.996049627792	2.0
I	5868713	5868777	5	WBGene00018008	-	0.125	False	0.207792207792	3.0
I	5868839	5868868	2	WBGene00018008	-	0.896	False	0.996049627792	2.0
I	7221713	7221749	3	WBGene00003622	+	0.037	False	0.0819242174629	3.0
I	10443729	10443760	2	WBGene00013719	-	0.033	False	0.0756860068259	2.0
V	5550482	5550513	2	WBGene00015966	-	0.032	False	0.073706940874	2.0
IV	658181	658231	3	WBGene00023106	+	0.389	False	0.5093190453	3.0
III	2032936	2032978	8	WBGene00023109	-	0.014	False	0.0380505561173	8.0
III	5714327	5714375	4	WBGene00015143	+	0.0	True	0.0	4.0
III	5714397	5714427	3	WBGene00015143	+	0.015	False	0.0405226130653	3.0
IV	5382916	5382939	3	WBGene00018314	+	0.003	False	0.0101689785624	3.0
II	3971544	3971601	5	WBGene00004751	+	0.0	True	0.0	5.0
IV	16429629	16429681	3	WBGene00012423	+	0.034	False	0.0771891891892	3.0
IV	16429703	16429747	2	WBGene00012423	+	0.588	False	0.712277602524	2.0
IV	8188743	8188786	3	WBGene00003961	+	0.002	True	0.0071871657754	3.0
I	9965614	9965643	2	WBGene00003397	+	0.96	False	1.0	2.0
I	9969366	9969412	14	WBGene00003397	+	0.0	True	0.0	14.0
I	9895904	9895946	4	WBGene00003396	-	0.0	True	0.0	4.0
II	7200231	7200307	3	WBGene00045095	+	1.0	False	1.0	2.0
II	7200309	7200351	2	WBGene00045095	+	1.0	False	1.0	2.0
II	7200358	7200409	2	WBGene00045095	+	1.0	False	1.0	2.0
I	8490769	8490798	2	WBGene00008385	+	0.293	False	0.406180505415	2.0
I	8490856	8490882	3	WBGene00008385	+	0.008	False	0.0232475675676	3.0
IV	11818294	11818324	2	WBGene00010918	+	0.04	False	0.0875570032573	2.0
II	11595381	11595407	5	WBGene00008546	-	0.0	True	0.0	5.0
III	7642156	7642232	13	WBGene00023219	-	0.0	True	0.0	13.0
III	10384882	10384907	2	WBGene00008019	+	0.023	False	0.0571386321627	2.0
IV	12331400	12331439	2	WBGene00008948	-	0.179	False	0.275731805158	2.0
V	17995340	17995381	2	WBGene00013352	-	0.642	False	0.763582300885	2.0
V	17995404	17995436	2	WBGene00013352	-	0.642	False	0.763582300885	2.0
V	17986314	17986356	4	WBGene00013353	+	0.005	False	0.0155916473318	4.0
V	17994164	17994234	5	WBGene00013353	+	0.005	False	0.0155916473318	4.0
I	1771460	1771504	3	WBGene00022160	-	0.048	False	0.0992492307692	3.0
I	1775851	1775886	3	WBGene00022160	-	0.048	False	0.0992492307692	3.0
V	2663025	2663068	2	WBGene00003579	-	0.19	False	0.288216704289	2.0
X	13908448	13908490	4	WBGene00012514	-	0.0	True	0.0	4.0
I	10590286	10590312	2	WBGene00003083	+	0.268	False	0.381155555556	2.0
I	13575542	13575570	2	WBGene00013596	+	0.032	False	0.073706940874	2.0
II	6384529	6384567	2	WBGene00019061	+	0.08	False	0.147186858316	2.0
II	13091241	13091272	2	WBGene00013591	+	0.052	False	0.106455445545	2.0
III	13624010	13624044	2	WBGene00011734	+	0.081	False	0.148013596193	2.0
V	4347165	4347199	4	WBGene00003159	+	0.007	False	0.0207682119205	4.0
V	4349571	4349626	7	WBGene00003159	+	0.0	True	0.0	7.0
V	4349634	4349675	3	WBGene00003159	+	0.135	False	0.220729927007	3.0
III	9798547	9798590	7	WBGene00003158	+	0.0	True	0.0	7.0
I	14621301	14621333	9	WBGene00002978	-	0.0	True	0.0	9.0
I	14621364	14621417	7	WBGene00002978	-	0.002	True	0.0071871657754	6.0
I	14621427	14621466	5	WBGene00002978	-	0.014	False	0.0380505561173	5.0
I	14630958	14631024	2	WBGene00002978	-	1.0	False	1.0	2.0
III	4216926	4216957	2	WBGene00003401	-	1.0	False	1.0	2.0
III	4216995	4217041	3	WBGene00003401	-	0.924	False	1.0	3.0
III	4217103	4217151	12	WBGene00003401	-	0.0	True	0.0	12.0
III	4217176	4217230	7	WBGene00003401	-	0.008	False	0.0232475675676	6.0
III	4217282	4217314	2	WBGene00003401	-	1.0	False	1.0	2.0
