chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
III	13464498	13464532	3	WBGene00006439	+	0.0	True	0.0	3.0
II	12678347	12678394	6	WBGene00014564	+	0.097	False	0.209511627907	6.0
I	1575745	1575785	7	WBGene00023198	+	0.006	False	0.0334285714286	7.0
V	12002224	12002263	4	WBGene00014406	+	0.211	False	0.357782608696	4.0
I	5874616	5874639	2	WBGene00016422	-	0.12	False	0.232340425532	2.0
IV	6481178	6481218	8	WBGene00023192	+	0.004	False	0.0266341463415	8.0
V	6917513	6917553	4	WBGene00023105	+	0.186	False	0.323107594937	4.0
V	6099894	6099930	2	WBGene00000802	-	0.25	False	0.411144578313	2.0
IV	620499	620539	8	WBGene00022911	+	0.006	False	0.0334285714286	8.0
I	6497437	6497485	2	WBGene00016943	+	0.112	False	0.226488888889	2.0
II	6972725	6972763	2	WBGene00004930	-	0.097	False	0.209511627907	2.0
IV	13777870	13777895	2	WBGene00004430	+	0.175	False	0.308225806452	2.0
V	9160530	9160555	2	WBGene00000717	-	0.056	False	0.144083333333	2.0
II	12435579	12435651	4	WBGene00014591	-	0.787	False	0.876942857143	3.0
II	5772915	5772973	5	WBGene00022984	-	0.408	False	0.568285714286	4.0
I	12225425	12225497	4	WBGene00014328	-	0.743	False	0.84869874477	3.0
IV	1880447	1880474	2	WBGene00001173	+	0.012	False	0.0555254237288	2.0
I	12229308	12229385	6	WBGene00014327	+	0.392	False	0.563242105263	5.0
I	14621243	14621266	2	WBGene00002978	-	0.674	False	0.798909090909	2.0
I	14621308	14621330	2	WBGene00002978	-	0.674	False	0.798909090909	2.0
I	14621362	14621393	2	WBGene00002978	-	0.674	False	0.798909090909	2.0
I	14630958	14630986	2	WBGene00002978	-	0.674	False	0.798909090909	2.0
X	3606762	3606793	2	WBGene00015956	-	0.025	False	0.0922297297297	2.0
V	1475104	1475138	2	WBGene00006794	+	0.039	False	0.119629213483	2.0
IV	10177841	10177868	2	WBGene00010556	+	0.278	False	0.4368	2.0
IV	9000803	9000845	4	WBGene00014298	-	0.294	False	0.45091011236	4.0
IV	8994832	8994858	5	WBGene00014293	+	0.044	False	0.129161290323	5.0
V	11980214	11980256	2	WBGene00014291	+	0.468	False	0.645272727273	2.0
III	3069168	3069199	3	WBGene00006725	+	0.003	False	0.0215526315789	3.0
I	15060298	15060479	72	WBGene00004677	+	0.003	False	0.0215526315789	31.0
I	15060481	15060832	52	WBGene00004677	+	1.0	False	1.0	10.0
I	15060839	15061151	237	WBGene00004677	+	0.0	True	0.0	70.0
V	6551853	6551901	6	WBGene00023095	-	0.02	False	0.0802941176471	6.0
I	12142910	12142987	6	WBGene00014337	+	0.406	False	0.568285714286	5.0
X	9743622	9743669	6	WBGene00014333	+	0.101	False	0.210480916031	6.0
X	12937699	12937737	3	WBGene00010376	+	0.49	False	0.672211055276	3.0
X	11967625	11967658	2	WBGene00008205	+	0.132	False	0.245142857143	2.0
X	16380844	16380875	4	WBGene00002280	-	0.0	True	0.0	4.0
III	5294978	5295050	4	WBGene00023140	-	0.768	False	0.869975103734	3.0
V	16341812	16341856	2	WBGene00014408	+	0.829	False	0.908903614458	2.0
X	8846750	8846792	2	WBGene00022948	+	0.81	False	0.895263157895	2.0
III	5305939	5305983	4	WBGene00023062	+	0.307	False	0.463044198895	4.0
III	9082177	9082205	2	WBGene00001386	+	0.652	False	0.798909090909	2.0
III	9082473	9082500	3	WBGene00001386	+	0.049	False	0.1365	3.0
V	12683366	12683403	2	WBGene00014437	-	0.537	False	0.7111	2.0
II	11959394	11959452	2	WBGene00014539	+	0.654	False	0.798909090909	2.0
X	11095708	11095764	13	WBGene00014538	+	0.0	True	0.0	13.0
I	10435713	10435738	2	WBGene00003902	-	0.057	False	0.144083333333	2.0
III	1604581	1604658	6	WBGene00023170	+	0.408	False	0.568285714286	5.0
I	2929506	2929535	2	WBGene00022122	+	0.132	False	0.245142857143	2.0
III	4362596	4362647	15	WBGene00007475	+	0.0	True	0.0	15.0
X	5485765	5485822	9	WBGene00022943	+	0.011	False	0.0526842105263	9.0
X	5485474	5485531	9	WBGene00022942	+	0.014	False	0.0606666666667	9.0
X	5485131	5485188	9	WBGene00022941	+	0.011	False	0.0526842105263	9.0
V	13128346	13128379	2	WBGene00001137	-	0.05	False	0.1365	2.0
V	15480741	15480783	5	WBGene00010777	+	0.119	False	0.232340425532	5.0
IV	6325955	6325977	2	WBGene00022235	+	0.066	False	0.158052631579	2.0
I	7377199	7377228	2	WBGene00006754	-	0.261	False	0.426664670659	2.0
X	9090829	9090907	3	WBGene00023078	+	0.52	False	0.702772277228	3.0
V	14277604	14277677	19	WBGene00014371	+	0.0	True	0.0	18.0
X	12348006	12348063	15	WBGene00014373	-	0.0	True	0.0	15.0
V	11071952	11071986	2	WBGene00000065	-	0.919	False	0.987744094488	2.0
V	11072062	11072098	2	WBGene00000065	-	0.919	False	0.987744094488	2.0
V	11072915	11072955	3	WBGene00000065	-	0.173	False	0.306681818182	3.0
III	13411360	13411407	6	WBGene00014376	-	0.125	False	0.237227586207	6.0
X	13442676	13442725	4	WBGene00014272	+	0.105	False	0.217159090909	4.0
I	14856138	14856172	2	WBGene00006789	-	0.135	False	0.24902027027	2.0
V	11076950	11076986	2	WBGene00000064	-	0.303	False	0.462117318436	2.0
X	4963052	4963088	2	WBGene00000066	+	0.623	False	0.779109589041	2.0
X	4963897	4963934	2	WBGene00000066	+	0.623	False	0.779109589041	2.0
V	11081360	11081400	3	WBGene00000063	+	0.126	False	0.237227586207	3.0
V	11082216	11082253	2	WBGene00000063	+	0.865	False	0.937083333333	2.0
V	11082406	11082432	2	WBGene00000063	+	0.865	False	0.937083333333	2.0
X	3793579	3793616	2	WBGene00023026	-	0.527	False	0.70525	2.0
V	9412204	9412233	2	WBGene00023028	-	0.59	False	0.752663551402	2.0
V	6765945	6765990	3	WBGene00020808	-	0.003	False	0.0215526315789	3.0
I	6836959	6837000	2	WBGene00019322	+	0.099	False	0.209511627907	2.0
II	10560259	10560291	2	WBGene00007352	-	0.024	False	0.091	2.0
I	5080259	5080283	2	WBGene00016258	-	0.04	False	0.121333333333	2.0
II	7791285	7791307	2	WBGene00015514	+	0.199	False	0.33954375	2.0
IV	15187653	15187691	2	WBGene00014571	-	1.0	False	1.0	2.0
IV	15187343	15187418	3	WBGene00014570	+	0.581	False	0.747225352113	3.0
II	8221302	8221332	2	WBGene00002066	+	0.042	False	0.124630434783	2.0
X	12563822	12563866	4	WBGene00014474	+	0.283	False	0.438971590909	4.0
X	13307053	13307090	2	WBGene00014478	+	0.527	False	0.70525	2.0
X	410389	410427	3	WBGene00023117	+	0.547	False	0.7111	3.0
I	1447163	1447203	7	WBGene00023055	+	0.006	False	0.0334285714286	7.0
X	9074710	9074746	2	WBGene00023053	-	0.725	False	0.837430379747	2.0
IV	10311269	10311305	2	WBGene00014485	-	0.734	False	0.841941176471	2.0
III	4016883	4016917	2	WBGene00006537	-	0.275	False	0.4368	2.0
V	20668368	20668406	2	WBGene00012186	+	0.113	False	0.226830882353	2.0
II	6853239	6853290	12	WBGene00022907	+	0.0	True	0.0	12.0
X	5407412	5407465	7	WBGene00022906	-	0.023	False	0.0897	7.0
V	7506420	7506460	7	WBGene00022909	+	0.003	False	0.0215526315789	7.0
X	10124532	10124580	4	WBGene00014507	+	0.118	False	0.232340425532	4.0
I	13310344	13310386	4	WBGene00014503	-	0.28	False	0.4368	4.0
IV	9001342	9001422	3	WBGene00045116	-	0.995	False	1.0	2.0
II	13834447	13834493	9	WBGene00045119	-	0.002	False	0.0176129032258	9.0
IV	6556818	6556855	2	WBGene00022959	+	0.98	False	1.0	2.0
X	5022816	5022854	2	WBGene00023208	-	1.0	False	1.0	2.0
II	14409515	14409572	15	WBGene00197433	-	0.002	False	0.0176129032258	15.0
X	5708061	5708110	7	WBGene00022974	+	0.012	False	0.0555254237288	7.0
X	5709408	5709457	7	WBGene00022975	+	0.014	False	0.0606666666667	7.0
X	9373149	9373221	4	WBGene00022973	-	0.782	False	0.874942622951	3.0
IV	15604311	15604353	6	WBGene00014607	-	0.053	False	0.140475728155	6.0
I	14162881	14162930	7	WBGene00014282	+	0.007	False	0.03675	7.0
V	14463248	14463321	14	WBGene00014316	-	0.0	True	0.0	13.0
III	6501556	6501588	2	WBGene00197504	-	0.639	False	0.792940909091	2.0
X	7230705	7230756	2	WBGene00018519	-	0.676	False	0.798909090909	2.0
X	7230823	7230858	3	WBGene00018519	-	0.046	False	0.1308125	3.0
X	7231558	7231595	2	WBGene00018519	-	0.676	False	0.798909090909	2.0
II	14635334	14635378	9	WBGene00014283	-	0.005	False	0.0310227272727	9.0
III	5230383	5230409	2	WBGene00000229	+	0.145	False	0.26567114094	2.0
X	13653762	13653806	4	WBGene00014284	+	0.279	False	0.4368	4.0
X	8608833	8608910	5	WBGene00023086	-	0.231	False	0.386889570552	5.0
X	13443385	13443427	10	WBGene00014304	-	0.002	False	0.0176129032258	10.0
IV	12795583	12795697	7	WBGene00014306	+	0.625	False	0.779109589041	4.0
II	5577215	5577252	2	WBGene00023151	-	0.546	False	0.7111	2.0
I	3638851	3638904	7	WBGene00023156	-	0.035	False	0.115120481928	7.0
V	3455325	3455378	7	WBGene00023017	-	0.024	False	0.091	7.0
IV	11324027	11324050	2	WBGene00001921	-	0.066	False	0.158052631579	2.0
I	11649604	11649646	2	WBGene00014542	+	0.338	False	0.504229508197	2.0
MtDNA	8065	8094	2	WBGene00010964	+	0.183	False	0.32025	2.0
V	9503595	9503637	2	WBGene00014423	+	0.776	False	0.871802469136	2.0
IV	2314738	2314766	3	WBGene00006912	-	0.0	True	0.0	3.0
III	9782830	9782858	3	WBGene00006911	+	0.068	False	0.160034482759	3.0
III	9782995	9783022	2	WBGene00006911	+	0.706	False	0.830767241379	2.0
X	13448872	13448920	6	WBGene00014303	-	0.029	False	0.102818181818	6.0
III	5875700	5875725	2	WBGene00017166	-	0.035	False	0.115120481928	2.0
V	8247528	8247570	5	WBGene00022935	+	0.11	False	0.224104477612	5.0
V	9165193	9165218	2	WBGene00000599	-	0.05	False	0.1365	2.0
X	9091595	9091631	2	WBGene00023080	-	0.727	False	0.837430379747	2.0
I	6094054	6094090	2	WBGene00022748	+	0.077	False	0.178144067797	2.0
IV	11928477	11928534	15	WBGene00014630	-	0.0	True	0.0	15.0
III	7179430	7179466	2	WBGene00004483	-	0.057	False	0.144083333333	2.0
X	8386639	8386679	7	WBGene00023041	+	0.004	False	0.0266341463415	7.0
III	8106672	8106729	9	WBGene00022923	+	0.011	False	0.0526842105263	9.0
III	12023634	12023661	2	WBGene00000273	+	0.187	False	0.323107594937	2.0
X	16689984	16690032	6	WBGene00023012	-	0.023	False	0.0897	6.0
II	9211803	9211845	5	WBGene00014640	-	0.124	False	0.237227586207	5.0
V	11174263	11174296	2	WBGene00011839	+	0.06	False	0.150275229358	2.0
IV	16583741	16583788	3	WBGene00014584	-	0.278	False	0.4368	3.0
IV	16577340	16577388	4	WBGene00014580	+	0.118	False	0.232340425532	4.0
II	6968454	6968526	18	WBGene00006344	-	0.0	True	0.0	17.0
IV	11081344	11081398	2	WBGene00002344	-	0.305	False	0.462583333333	2.0
MtDNA	4446	4488	3	WBGene00014464	+	0.504	False	0.684537313433	3.0
IV	4861788	4861826	2	WBGene00023168	+	0.724	False	0.837430379747	2.0
I	754680	754717	2	WBGene00023169	+	1.0	False	1.0	2.0
I	754717	754769	5	WBGene00023169	+	0.67	False	0.798909090909	5.0
V	14445996	14446022	2	WBGene00009082	-	0.028	False	0.100578947368	2.0
II	4902514	4902546	2	WBGene00019893	-	0.051	False	0.1365	2.0
X	8386229	8386269	7	WBGene00023040	+	0.001	False	0.01092	7.0
X	8381799	8381841	7	WBGene00023043	-	0.005	False	0.0310227272727	7.0
V	15515521	15515560	6	WBGene00014342	-	0.027	False	0.09828	6.0
III	5567294	5567321	2	WBGene00003371	+	0.126	False	0.237227586207	2.0
MtDNA	5459	5489	2	WBGene00000829	+	0.046	False	0.1308125	2.0
II	7001660	7001707	6	WBGene00023260	+	0.098	False	0.209511627907	6.0
X	59766	59802	3	WBGene00195519	+	0.504	False	0.684537313433	3.0
X	59807	59840	2	WBGene00195519	+	0.999	False	1.0	2.0
II	13834884	13834926	2	WBGene00044973	-	0.775	False	0.871802469136	2.0
V	11478244	11478286	2	WBGene00014517	+	0.432	False	0.598659898477	2.0
V	12780385	12780432	2	WBGene00014619	-	0.54	False	0.7111	2.0
II	12944863	12944929	24	WBGene00006315	-	0.0	True	0.0	24.0
X	13857179	13857215	2	WBGene00010834	+	0.025	False	0.0922297297297	2.0
II	11334541	11334588	6	WBGene00008135	+	0.107	False	0.219631578947	6.0
I	7346052	7346084	2	WBGene00009918	-	0.07	False	0.163333333333	2.0
