chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	7396863	7396905	3	WBGene00015567	+	0.011	False	0.0310921052632	3.0
II	7397283	7397310	2	WBGene00015567	+	0.36	False	0.479256338028	2.0
V	11602203	11602244	2	WBGene00009388	+	0.143	False	0.229090847458	2.0
III	10617987	10618025	2	WBGene00012646	-	0.075	False	0.141666666667	2.0
III	10612717	10612742	2	WBGene00012644	+	0.708	False	0.836502	2.0
III	10612882	10612948	6	WBGene00012644	+	0.0	True	0.0	6.0
III	11306833	11306868	7	WBGene00004284	-	0.0	True	0.0	7.0
I	5862798	5862840	2	WBGene00018009	-	0.125	False	0.206555944056	2.0
I	5868719	5868762	3	WBGene00018008	-	0.027	False	0.0656388888889	3.0
I	7221186	7221220	3	WBGene00003622	+	0.007	False	0.0214539559014	3.0
I	7221413	7221455	2	WBGene00003622	+	0.292	False	0.404452520516	2.0
III	5029288	5029330	3	WBGene00020092	+	0.063	False	0.123954204829	3.0
III	5029407	5029478	5	WBGene00020092	+	0.0	True	0.0	4.0
III	5029599	5029635	4	WBGene00020092	+	0.0	True	0.0	4.0
II	10882478	10882510	3	WBGene00009701	-	0.0	True	0.0	3.0
IV	658180	658223	2	WBGene00023106	+	0.715	False	0.843507239141	2.0
III	8487780	8487815	2	WBGene00018367	+	0.039	False	0.0852516188714	2.0
III	2032935	2032978	7	WBGene00023109	-	0.047	False	0.0978511013216	7.0
III	5714329	5714371	2	WBGene00015143	+	0.09	False	0.160626888218	2.0
V	13965370	13965401	2	WBGene00011195	+	1.0	False	1.0	2.0
V	13965425	13965461	11	WBGene00011195	+	0.0	True	0.0	11.0
V	13965477	13965519	2	WBGene00011195	+	1.0	False	1.0	2.0
V	13965590	13965624	3	WBGene00011195	+	0.728	False	0.856278745645	3.0
II	3971574	3971601	2	WBGene00004751	+	0.33	False	0.447127293578	2.0
II	3971700	3971771	4	WBGene00004751	+	0.33	False	0.447127293578	2.0
IV	11562187	11562216	2	WBGene00004755	-	0.292	False	0.404452520516	2.0
IV	16429628	16429685	3	WBGene00012423	+	0.085	False	0.154861218196	3.0
IV	16429703	16429746	3	WBGene00012423	+	0.085	False	0.154861218196	3.0
II	4325952	4325990	3	WBGene00003390	+	0.003	False	0.0101561604585	3.0
I	9965614	9965642	2	WBGene00003397	+	0.995	False	1.0	2.0
I	9969367	9969411	15	WBGene00003397	+	0.0	True	0.0	15.0
I	9895888	9895946	8	WBGene00003396	-	0.0	True	0.0	8.0
I	9895951	9895989	2	WBGene00003396	-	0.846	False	0.955591778203	2.0
III	10596730	10596777	2	WBGene00012641	-	0.054	False	0.109341902314	2.0
I	8490771	8490796	2	WBGene00008385	+	0.105	False	0.179923857868	2.0
IV	11818290	11818330	2	WBGene00010918	+	0.038	False	0.0840767790262	2.0
IV	14773710	14773743	3	WBGene00044258	-	0.006	False	0.018753968254	3.0
III	1409430	1409466	3	WBGene00022347	-	0.0	True	0.0	3.0
III	7642156	7642200	8	WBGene00023219	-	0.033	False	0.0760029239766	8.0
I	7352611	7352636	2	WBGene00008541	+	0.036	False	0.0807096774194	2.0
III	10384882	10384906	2	WBGene00008019	+	0.015	False	0.0406013745704	2.0
IV	12331443	12331473	2	WBGene00008948	-	0.03	False	0.0705373134328	2.0
V	17986314	17986358	3	WBGene00013353	+	0.283	False	0.394530383481	3.0
V	17994164	17994244	10	WBGene00013353	+	0.0	True	0.0	6.0
V	17966772	17966822	2	WBGene00013355	-	0.172	False	0.265297650131	2.0
IV	2891630	2891667	2	WBGene00021883	-	0.082	False	0.150790661479	2.0
IV	2894041	2894066	2	WBGene00021884	-	0.352	False	0.470461538462	2.0
I	13575498	13575524	2	WBGene00013596	+	0.15	False	0.237248995984	2.0
I	13575541	13575571	2	WBGene00013596	+	0.15	False	0.237248995984	2.0
II	13091221	13091271	7	WBGene00013591	+	0.0	True	0.0	7.0
V	10185945	10185978	5	WBGene00194912	-	0.0	True	0.0	5.0
III	13614797	13614831	2	WBGene00011735	-	0.037	False	0.0824820754717	2.0
V	4347170	4347198	4	WBGene00003159	+	0.002	True	0.00704321907601	4.0
V	4349574	4349632	4	WBGene00003159	+	0.002	True	0.00704321907601	4.0
III	9798548	9798586	5	WBGene00003158	+	0.0	True	0.0	5.0
