chrom	left	right	max_coverage	gene_id	strand	pval	past_fdr	padj	height
II	7396863	7396905	3	WBGene00015567	+	0.008	False	0.0236878483835	3.0
II	7397283	7397310	2	WBGene00015567	+	0.33	False	0.456024973985	2.0
V	13627355	13627389	3	WBGene00009994	+	0.002	True	0.00712064343164	3.0
V	11602203	11602244	2	WBGene00009388	+	0.155	False	0.253030116779	2.0
II	12678313	12678391	21	WBGene00014564	+	0.0	True	0.0	19.0
III	10617987	10618025	2	WBGene00012646	-	0.06	False	0.121002277904	2.0
III	10612717	10612742	2	WBGene00012644	+	0.701	False	0.847068243858	2.0
III	10612882	10612948	6	WBGene00012644	+	0.0	True	0.0	6.0
III	11306833	11306868	7	WBGene00004284	-	0.0	True	0.0	7.0
I	5862798	5862840	2	WBGene00018009	-	0.144	False	0.238741573034	2.0
I	5868719	5868762	3	WBGene00018008	-	0.027	False	0.0660331491713	3.0
V	19692928	19692974	2	WBGene00003413	+	0.054	False	0.112137607506	2.0
I	7221186	7221220	3	WBGene00003622	+	0.01	False	0.0286825053996	3.0
I	7221400	7221442	2	WBGene00003622	+	0.313	False	0.438695514512	2.0
III	5029288	5029330	3	WBGene00020092	+	0.058	False	0.118225633154	3.0
III	5029407	5029478	5	WBGene00020092	+	0.001	True	0.00379428571429	4.0
III	5029599	5029635	4	WBGene00020092	+	0.001	True	0.00379428571429	4.0
II	10882478	10882510	3	WBGene00009701	-	0.0	True	0.0	3.0
V	6917513	6917553	2	WBGene00023105	+	1.0	False	1.0	2.0
IV	658180	658223	2	WBGene00023106	+	0.733	False	0.873809694794	2.0
III	8487780	8487815	2	WBGene00018367	+	0.039	False	0.0873389544688	2.0
III	2032936	2032978	4	WBGene00023109	-	0.261	False	0.377157780196	4.0
III	5714329	5714371	2	WBGene00015143	+	0.158	False	0.256665443425	2.0
V	13965370	13965401	2	WBGene00011195	+	1.0	False	1.0	2.0
V	13965425	13965461	11	WBGene00011195	+	0.0	True	0.0	11.0
V	13965477	13965519	2	WBGene00011195	+	1.0	False	1.0	2.0
V	13965590	13965624	3	WBGene00011195	+	0.707	False	0.85276657584	3.0
II	3971573	3971601	3	WBGene00004751	+	0.005	False	0.0159423769508	3.0
II	3971700	3971771	4	WBGene00004751	+	0.381	False	0.513933976638	2.0
IV	11562187	11562216	2	WBGene00004755	-	0.305	False	0.430207116304	2.0
IV	16429628	16429685	3	WBGene00012423	+	0.131	False	0.221333333333	3.0
IV	16429703	16429746	5	WBGene00012423	+	0.001	True	0.00379428571429	5.0
II	4325952	4325990	3	WBGene00003390	+	0.002	True	0.00712064343164	3.0
I	9965614	9965642	2	WBGene00003397	+	0.996	False	1.0	2.0
I	9969367	9969411	15	WBGene00003397	+	0.0	True	0.0	15.0
I	9895888	9895946	8	WBGene00003396	-	0.0	True	0.0	8.0
I	9895951	9895989	2	WBGene00003396	-	0.815	False	0.939106290672	2.0
I	4379394	4379425	2	WBGene00022836	-	0.023	False	0.0584574162679	2.0
II	7200276	7200351	3	WBGene00045095	+	0.997	False	1.0	2.0
II	7200357	7200416	2	WBGene00045095	+	0.997	False	1.0	2.0
IV	14013797	14013843	5	WBGene00014563	-	0.169	False	0.269426170468	5.0
I	8490771	8490796	2	WBGene00008385	+	0.101	False	0.180643771044	2.0
IV	11818290	11818330	2	WBGene00010918	+	0.051	False	0.107419508327	2.0
II	7756995	7757037	2	WBGene00022896	-	0.763	False	0.901881619938	2.0
III	1409430	1409466	3	WBGene00022347	-	0.001	True	0.00379428571429	3.0
I	12288226	12288270	2	WBGene00014404	-	0.374	False	0.505261444557	2.0
III	7642156	7642200	8	WBGene00023219	-	0.037	False	0.0842090831191	8.0
I	7352611	7352636	2	WBGene00008541	+	0.048	False	0.102153846154	2.0
III	10384882	10384906	2	WBGene00008019	+	0.027	False	0.0660331491713	2.0
IV	12331443	12331473	2	WBGene00008948	-	0.022	False	0.0562386910491	2.0
V	17986314	17986358	3	WBGene00013353	+	0.342	False	0.469190082645	3.0
V	17994164	17994244	11	WBGene00013353	+	0.0	True	0.0	7.0
V	17966772	17966822	2	WBGene00013355	-	0.162	False	0.261245901639	2.0
IV	2894041	2894066	2	WBGene00021884	-	0.385	False	0.518539553753	2.0
I	13575498	13575524	2	WBGene00013596	+	0.271	False	0.389489177489	2.0
I	13575541	13575571	3	WBGene00013596	+	0.009	False	0.0260392156863	3.0
II	13091221	13091271	6	WBGene00013591	+	0.0	True	0.0	6.0
V	10185945	10185978	5	WBGene00194912	-	0.0	True	0.0	5.0
I	1700796	1700856	2	WBGene00006702	+	0.219	False	0.331243735763	2.0
III	13614797	13614831	2	WBGene00011735	-	0.028	False	0.0680402561757	2.0
V	4347170	4347198	4	WBGene00003159	+	0.0	True	0.0	4.0
V	4349574	4349632	4	WBGene00003159	+	0.0	True	0.0	4.0
III	9798548	9798586	5	WBGene00003158	+	0.0	True	0.0	5.0
I	14621224	14621270	3	WBGene00002978	-	0.939	False	1.0	3.0
I	14621301	14621332	6	WBGene00002978	-	0.005	False	0.0159423769508	6.0
I	14621356	14621426	8	WBGene00002978	-	0.005	False	0.0159423769508	6.0
I	14621427	14621460	6	WBGene00002978	-	0.005	False	0.0159423769508	6.0
I	14621504	14621546	3	WBGene00002978	-	0.939	False	1.0	3.0
I	14630958	14630988	6	WBGene00002978	-	0.005	False	0.0159423769508	6.0
IV	13035190	13035220	2	WBGene00003150	+	0.983	False	1.0	2.0
